agent,total_reward,average_reward,max_reward,min_reward,wins,games_played,win_rate
basic_bidding_agent,2864.9587245804723,286.49587245804724,1200.0,0.0,6,10,0.6
aggressive_bidding_agent,-1050.2057217132985,-105.02057217132986,54.97477359765995,-305.9602690840462,3,10,0.3
RandomAgent_0,1115.782762865794,111.5782762865794,431.0,-134.01833427169475,6,10,0.6
RandomAgent_1,1530.9875816703636,153.09875816703635,892.0,-169.22955757130524,8,10,0.8
RandomAgent_2,302.78282563637435,30.278282563637436,374.15089648566453,-187.6515840050434,4,10,0.4
RandomAgent_3,1305.9544171865268,130.5954417186527,748.0,-139.67891412042144,6,10,0.6
RandomAgent_4,616.5287420826124,61.652874208261245,640.0,-147.708720729439,4,10,0.4
RandomAgent_5,2006.2184818171754,200.62184818171755,1285.0,-228.2173070345401,7,10,0.7
RandomAgent_6,-59.58488699653262,-5.9584886996532616,410.0,-264.2538827324121,3,10,0.3
RandomAgent_7,783.9692016835261,78.39692016835261,680.0,-159.4216056245931,5,10,0.5
