agent,total_reward,average_reward,max_reward,min_reward,wins,games_played,win_rate
basic_bidding_agent,1404.2642732143406,140.42642732143406,1328.615584591909,0.0,2,10,0.2
aggressive_bidding_agent,-34.26881573749856,-3.4268815737498555,555.0,-196.09919943441946,3,10,0.3
RandomAgent_0,1216.3788699433778,121.63788699433778,871.0000000000001,-59.74630941291372,6,10,0.6
RandomAgent_1,1836.736663063387,183.6736663063387,961.9999999999999,-145.32857299360376,4,10,0.4
RandomAgent_2,-152.98820157221868,-15.298820157221868,155.0,-224.76226800897962,4,10,0.4
RandomAgent_3,20.020429203223642,2.0020429203223644,179.0,-161.0797559599045,5,10,0.5
RandomAgent_4,1521.5118937394902,152.15118937394902,552.0,-63.69455787391658,7,10,0.7
RandomAgent_5,3382.3271263559327,338.23271263559326,1680.0,-47.653297938122876,8,10,0.8
RandomAgent_6,-269.4700247998237,-26.94700247998237,60.85586761077917,-155.25505635435718,3,10,0.3
RandomAgent_7,409.35096219459706,40.93509621945971,284.0,-65.73767963659284,7,10,0.7
