agent,total_reward,average_reward,max_reward,min_reward,wins,games_played,win_rate
CompetitionAgent,821.0,82.1,718.0,0.0,2,10,0.2
basic_bidding_agent,897.0,89.7,897.0,0.0,1,10,0.1
aggressive_bidding_agent,-632.1010610313277,-63.21010610313277,228.90177757367218,-243.01934131370342,2,10,0.2
RandomAgent_0,904.3554319391473,90.43554319391473,673.0,-130.36144132359453,6,10,0.6
RandomAgent_1,1100.9167365618175,110.09167365618175,557.0,-189.40822174456468,5,10,0.5
RandomAgent_2,390.71167242679076,39.071167242679074,482.0,-84.83923902180919,2,10,0.2
RandomAgent_3,139.8807448388314,13.988074483883139,238.94957540547637,-226.57299468898583,6,10,0.6
RandomAgent_4,1615.8919775360946,161.58919775360945,962.0,-383.0748149481451,5,10,0.5
RandomAgent_5,2148.440370018082,214.8440370018082,1200.0,-187.099607184717,4,10,0.4
RandomAgent_6,2439.6452709249547,243.96452709249547,1098.0,-117.18969169491959,7,10,0.7
