agent,total_reward,average_reward,max_reward,min_reward,wins,games_played,win_rate
basic_bidding_agent,401.6379398711997,40.16379398711997,386.8886148678771,0.0,4,10,0.4
aggressive_bidding_agent,-1091.0468463706943,-109.10468463706943,29.05812856065606,-264.96649264148846,1,10,0.1
RandomAgent_0,-118.80466341911958,-11.880466341911958,292.4846638601733,-174.0577190678461,3,10,0.3
RandomAgent_1,1505.6805019620617,150.56805019620617,591.0,-208.98688565121688,6,10,0.6
RandomAgent_2,1781.8718424679528,178.18718424679528,1135.0,-137.83167855293595,8,10,0.8
RandomAgent_3,1118.1090031586978,111.81090031586977,471.5201303627678,-118.29669655431098,7,10,0.7
RandomAgent_4,649.6194934184049,64.9619493418405,642.7662922479001,-166.77392345556962,4,10,0.4
RandomAgent_5,1235.0593961868158,123.50593961868158,990.0,-235.92449139616917,5,10,0.5
RandomAgent_6,1328.3334398242605,132.83334398242604,612.0,-132.49631605516845,6,10,0.6
RandomAgent_7,1480.2066618984916,148.02066618984915,1006.0,-183.4169330593012,5,10,0.5
